# Program:featureCounts v1.5.0-p3; Command:"/grp/gf/bin/bpucker/featureCounts/subread-1.5.0-p3-Linux-x86_64/bin/featureCounts" "-t" "gene" "-g" "old_locus_tag" "-a" "/vol/cluster-data/bpucker/nadja/ATCC13032.gff" "-o" "/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel.count_table.txt" "/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel/Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel/Aligned.sortedByCoord.out.bam
cg1135	NC_006958.1	1055350	1056075	+	726	105
cg1136	NC_006958.1	1056107	1056502	-	396	1026
cg1137	NC_006958.1	1056521	1057195	+	675	284
cg1138	NC_006958.1	1057253	1057792	+	540	540
cg1139	NC_006958.1	1057789	1058670	-	882	247
cg1140	NC_006958.1	1058667	1059320	-	654	154
cg1141	NC_006958.1	1059310	1060068	-	759	154
cg1142	NC_006958.1	1060090	1061400	-	1311	241
cg1143	NC_006958.1	1061611	1062264	+	654	137
cg1144	NC_006958.1	1062374	1063618	+	1245	863
cg1145	NC_006958.1	1063677	1065086	-	1410	7678
cg1147	NC_006958.1	1065405	1065896	+	492	100
cg1148	NC_006958.1	1065944	1066207	-	264	15
cg1149	NC_006958.1	1066220	1066669	-	450	24
cg1150	NC_006958.1	1066770	1067336	-	567	76
cg1151	NC_006958.1	1067579	1069042	+	1464	26
cg1152	NC_006958.1	1069039	1070121	+	1083	10
cg1153	NC_006958.1	1070118	1071317	+	1200	22
cg1156	NC_006958.1	1071428	1072606	+	1179	45
cg1157	NC_006958.1	1072945	1073952	-	1008	3190
cg1158	NC_006958.1	1074187	1074717	+	531	910
cg1159	NC_006958.1	1074806	1076590	-	1785	332
cg1160	NC_006958.1	1076795	1077022	-	228	56
cg1162	NC_006958.1	1077133	1077378	-	246	90
cg1163	NC_006958.1	1077399	1078652	-	1254	533
cg1164	NC_006958.1	1078766	1079743	+	978	1414
cg1165	NC_006958.1	1079785	1080483	-	699	715
cg1166	NC_006958.1	1080687	1082159	-	1473	1096
cg1167	NC_006958.1	1082252	1082434	-	183	252
cg1169	NC_006958.1	1082438	1084129	-	1692	3275
cg1170	NC_006958.1	1084417	1085652	-	1236	394
cg1171	NC_006958.1	1085849	1086934	+	1086	1886
cg1172	NC_006958.1	1086968	1087249	+	282	727
cg1173	NC_006958.1	1087260	1087559	+	300	290
cg1174	NC_006958.1	1087565	1088389	+	825	368
cg1175	NC_006958.1	1088510	1089013	-	504	83
cg1178	NC_006958.1	1090001	1091209	-	1209	46
cg1179	NC_006958.1	1091632	1094688	+	3057	1070
cg1182	NC_006958.1	1096163	1096384	+	222	67
cg1183	NC_006958.1	1096522	1096857	+	336	76
cg1184	NC_006958.1	1096854	1097147	-	294	26
cg1185	NC_006958.1	1097186	1097563	-	378	24
cg1187	NC_006958.1	1097655	1097801	-	147	16
cg1190	NC_006958.1	1098213	1098581	-	369	76
cg1191	NC_006958.1	1098699	1099199	+	501	123
cg1192	NC_006958.1	1099262	1100065	+	804	23
cg1193	NC_006958.1	1100079	1100402	+	324	3
cg1194	NC_006958.1	1100582	1101238	-	657	21
cg1195	NC_006958.1	1101387	1103126	+	1740	429
cg1197	NC_006958.1	1103513	1104112	+	600	84
cg1198	NC_006958.1	1104165	1104665	+	501	10
cg1199	NC_006958.1	1104662	1104997	+	336	20
cg1201	NC_006958.1	1105421	1105576	+	156	10
cg1202	NC_006958.1	1105570	1107528	-	1959	542
cg1203	NC_006958.1	1107553	1108926	-	1374	822
cg1204	NC_006958.1	1108973	1109674	+	702	129
cg1205	NC_006958.1	1109671	1110378	+	708	111
cg1206	NC_006958.1	1110463	1111226	+	764	1010
cg1207	NC_006958.1	1111261	1112904	+	1644	580
cg1208	NC_006958.1	1112891	1113289	-	399	87
cg1209	NC_006958.1	1113358	1113702	+	345	398
cg1211	NC_006958.1	1113950	1114426	-	477	153
cg1212	NC_006958.1	1114571	1115791	+	1221	139
cg1213	NC_006958.1	1115955	1117265	+	1311	108
cg1214	NC_006958.1	1117298	1118374	-	1077	1851
cg1215	NC_006958.1	1118374	1119213	-	840	1612
cg1216	NC_006958.1	1119217	1120503	-	1287	3147
cg1218	NC_006958.1	1120552	1121196	-	645	460
cg1219	NC_006958.1	1121353	1122276	+	924	216
cg1220	NC_006958.1	1122299	1122901	-	603	240
cg1221	NC_006958.1	1122934	1123278	-	345	25
cg1222	NC_006958.1	1123284	1124342	-	1059	121
cg1224	NC_006958.1	1124519	1124932	+	414	265
cg1225	NC_006958.1	1124999	1126294	-	1296	441
cg1226	NC_006958.1	1126301	1127488	-	1188	128
cg1227	NC_006958.1	1127875	1128480	+	606	6538
cg1228	NC_006958.1	1128481	1129821	+	1341	13604
cg1229	NC_006958.1	1129818	1130573	+	756	8223
cg1230	NC_006958.1	1130570	1131103	+	534	3992
cg1231	NC_006958.1	1131123	1132175	+	1053	2903
cg1232	NC_006958.1	1132195	1132899	+	705	539
cg1233	NC_006958.1	1132866	1133591	-	726	298
cg1234	NC_006958.1	1133598	1135940	-	2343	727
cg1236	NC_006958.1	1136029	1136526	+	498	5143
cg1237	NC_006958.1	1136523	1138301	-	1779	873
cg1238	NC_006958.1	1138403	1139359	-	957	503
cg1239	NC_006958.1	1139428	1140330	+	903	116
cg1240	NC_006958.1	1140348	1140716	+	369	145
cg4004	NC_006958.1	1140664	1140963	+	300	162
cg1242	NC_006958.1	1141100	1141489	-	390	282
cg1243	NC_006958.1	1141493	1142329	-	837	974
cg1244	NC_006958.1	1142366	1142713	-	348	281
cg1245	NC_006958.1	1142741	1143943	+	1203	717
cg1246	NC_006958.1	1143944	1144483	-	540	1345
cg1247	NC_006958.1	1144491	1145207	-	717	3475
cg1248	NC_006958.1	1145586	1147499	+	1914	7619
cg1249	NC_006958.1	1147565	1149073	+	1509	631
cg1250	NC_006958.1	1149060	1149932	+	873	356
cg1251	NC_006958.1	1149940	1150353	+	414	234
cg1252	NC_006958.1	1150421	1150738	+	318	1445
cg1253	NC_006958.1	1150747	1151850	+	1104	1141
cg1254	NC_006958.1	1151909	1152499	+	591	666
cg1255	NC_006958.1	1152675	1153841	+	1167	63
cg1256	NC_006958.1	1153838	1154731	-	894	91
cg1257	NC_006958.1	1154760	1156151	-	1392	484
cg1259	NC_006958.1	1156194	1157144	-	951	294
cg1260	NC_006958.1	1157199	1158308	+	1110	698
cg1261	NC_006958.1	1158370	1159140	+	771	572
cg1262	NC_006958.1	1159162	1159995	+	834	318
cg1263	NC_006958.1	1159992	1160723	+	732	166
cg1264	NC_006958.1	1160735	1161043	+	309	405
cg1265	NC_006958.1	1161103	1161270	+	168	669
cg1266	NC_006958.1	1161333	1162199	+	867	1522
cg1267	NC_006958.1	1162203	1163699	-	1497	1783
cg1268	NC_006958.1	1163844	1165016	-	1173	1321
cg1269	NC_006958.1	1165158	1166387	+	1230	3208
cg1270	NC_006958.1	1166439	1167080	-	642	247
cg1271	NC_006958.1	1167214	1167855	+	642	1946
cg1272	NC_006958.1	1168044	1168538	+	495	1503
cg1273	NC_006958.1	1168578	1169048	+	471	548
cg1274	NC_006958.1	1169052	1170176	-	1125	1734
cg1275	NC_006958.1	1170212	1170793	-	582	279
cg1276	NC_006958.1	1170786	1172078	-	1293	470
cg1277	NC_006958.1	1172161	1172658	+	498	505
cg1278	NC_006958.1	1172674	1173342	+	669	477
cg1279	NC_006958.1	1173334	1173867	-	534	500
cg1280	NC_006958.1	1173966	1177631	-	3666	9623
cg1281	NC_006958.1	1177773	1181516	-	3744	788
cg1282	NC_006958.1	1181586	1182305	-	720	517
cg1283	NC_006958.1	1182337	1183143	-	807	1535
cg1284	NC_006958.1	1183434	1185074	+	1641	613
cg1285	NC_006958.1	1185075	1185728	+	654	320
cg1286	NC_006958.1	1185823	1186626	+	804	2299
cg1287	NC_006958.1	1186683	1187180	-	498	14
cg1288	NC_006958.1	1187293	1188510	+	1218	77
cg1289	NC_006958.1	1188511	1189860	+	1350	656
cg1290	NC_006958.1	1189853	1192090	-	2238	56840
cg1292	NC_006958.1	1193866	1195278	+	1413	11192
cg1293	NC_006958.1	1195335	1195661	+	327	936
cg1294	NC_006958.1	1195684	1196580	+	897	452
cg1295	NC_006958.1	1196590	1197384	-	795	21
cg1296	NC_006958.1	1197442	1199091	+	1650	38
cg1298	NC_006958.1	1199455	1201011	-	1557	445
cg1299	NC_006958.1	1201008	1202450	-	1443	411
cg1300	NC_006958.1	1202555	1203556	-	1002	518
cg1301	NC_006958.1	1203559	1205100	-	1542	1209
cg1302	NC_006958.1	1205381	1208296	-	2916	726
cg1303	NC_006958.1	1208296	1208691	-	396	306
cg1304	NC_006958.1	1208842	1209609	+	768	416
cg1305	NC_006958.1	1209677	1211083	-	1407	353
cg1307	NC_006958.1	1211402	1213600	+	2199	4190
cg1308	NC_006958.1	1213894	1214583	-	690	140
cg1309	NC_006958.1	1214737	1216329	+	1593	85
cg1310	NC_006958.1	1216339	1217409	+	1071	97
cg1311	NC_006958.1	1217420	1218307	+	888	97
cg1312	NC_006958.1	1218369	1218842	-	474	837
cg1313	NC_006958.1	1218908	1219450	-	543	139
cg1314	NC_006958.1	1219496	1221070	-	1575	7678
cg1316	NC_006958.1	1221363	1224467	+	3105	1123
cg1317	NC_006958.1	1224460	1225314	+	855	419
cg1318	NC_006958.1	1225355	1226530	+	1176	252
cg1319	NC_006958.1	1226534	1229164	+	2631	405
cg1320	NC_006958.1	1229358	1230107	+	750	18
cg1321	NC_006958.1	1230186	1230566	+	381	8
cg1322	NC_006958.1	1230645	1231184	-	540	1462
cg1324	NC_006958.1	1231463	1231951	+	489	213
cg1325	NC_006958.1	1232087	1232302	+	216	94
cg1326	NC_006958.1	1232379	1232801	-	423	409
cg1327	NC_006958.1	1233279	1233950	+	672	330
cg1328	NC_006958.1	1234071	1234307	+	237	147
cg1329	NC_006958.1	1234475	1236352	+	1878	95
cg1330	NC_006958.1	1236451	1237083	+	633	181
cgtRNA_3552	NC_006958.1	1237864	1237936	-	73	124
cg1332	NC_006958.1	1238010	1239518	-	1509	3986
cg1333	NC_006958.1	1239742	1241394	+	1653	2474
cg1334	NC_006958.1	1241397	1242734	+	1338	2334
cg1335	NC_006958.1	1243019	1243624	-	606	197
cg1336	NC_006958.1	1243621	1243743	-	123	13
cg1337	NC_006958.1	1243975	1245312	+	1338	4886
cg1338	NC_006958.1	1245323	1246252	+	930	2515
cg1340	NC_006958.1	1246308	1247000	-	693	343
cg1341	NC_006958.1	1247185	1247964	-	780	631
cg1342	NC_006958.1	1247973	1248659	-	687	456
cg1343	NC_006958.1	1248664	1250259	-	1596	2010
cg1344	NC_006958.1	1250259	1254005	-	3747	7050
cg1345	NC_006958.1	1254022	1255359	-	1338	3225
cg1346	NC_006958.1	1255617	1256105	+	489	314
cg1347	NC_006958.1	1256202	1258142	-	1941	339
cg1348	NC_006958.1	1258316	1259326	-	1011	200
cg1349	NC_006958.1	1259330	1260733	-	1404	752
cg1350	NC_006958.1	1260894	1261457	-	564	80
cg1351	NC_006958.1	1261458	1262669	-	1212	262
cg1352	NC_006958.1	1263153	1264286	-	1134	433
cg1353	NC_006958.1	1264351	1266078	-	1728	611
cg1354	NC_006958.1	1266610	1268898	+	2289	4542
cg1355	NC_006958.1	1268898	1269974	+	1077	2596
cg1356	NC_006958.1	1269975	1270814	+	840	375
cg1358	NC_006958.1	1270864	1271514	+	651	723
cg1359	NC_006958.1	1271515	1272663	+	1149	891
cg1360	NC_006958.1	1272720	1273169	+	450	815
cg1361	NC_006958.1	1273339	1273590	+	252	36
cg1362	NC_006958.1	1273808	1274620	+	813	16901
cg1363	NC_006958.1	1274754	1274996	+	243	4206
cg1364	NC_006958.1	1275027	1275593	+	567	6773
cg1365	NC_006958.1	1275599	1276414	+	816	10460
cg1366	NC_006958.1	1276476	1278119	+	1644	19941
cg1367	NC_006958.1	1278176	1279153	+	978	8811
cg1368	NC_006958.1	1279156	1280607	+	1452	16671
cg1369	NC_006958.1	1280619	1280993	+	375	3049
cg1370	NC_006958.1	1281238	1281711	+	474	879
cg1371	NC_006958.1	1281738	1282430	+	693	828
cg1372	NC_006958.1	1282435	1282722	+	288	222
cg1373	NC_006958.1	1282727	1283182	-	456	376
cg1374	NC_006958.1	1283271	1283576	+	306	191
cg1375	NC_006958.1	1283662	1284585	+	924	1158
cg1376	NC_006958.1	1284792	1285937	+	1146	38
cg1377	NC_006958.1	1285985	1286755	+	771	13
cg1379	NC_006958.1	1286770	1287501	+	732	12
cg1380	NC_006958.1	1287511	1288470	+	960	116
cg1381	NC_006958.1	1288746	1290941	-	2196	3339
cg1382	NC_006958.1	1290979	1293006	-	2028	2755
cg1383	NC_006958.1	1293167	1294048	+	882	634
cg1384	NC_006958.1	1294696	1295496	+	801	48
cg1385	NC_006958.1	1295514	1296677	+	1164	218
cg1386	NC_006958.1	1296903	1297691	+	789	1483
cg1387	NC_006958.1	1297721	1298674	+	954	1324
cg1388	NC_006958.1	1298680	1299810	+	1131	1017
cg1389	NC_006958.1	1299807	1300121	-	315	164
cg1391	NC_006958.1	1300465	1301613	-	1149	95
cg1392	NC_006958.1	1301610	1301837	-	228	90
cg1393	NC_006958.1	1302020	1302526	+	507	69
cg1394	NC_006958.1	1302453	1303397	-	945	162
cg1395	NC_006958.1	1303440	1304582	-	1143	140
cg1396	NC_006958.1	1304767	1305165	+	399	54
cg1397	NC_006958.1	1305297	1306394	+	1098	794
cg1398	NC_006958.1	1306400	1307392	+	993	395
cg1399	NC_006958.1	1307389	1308852	-	1464	552
cg1400	NC_006958.1	1308927	1309640	-	714	207
cg1401	NC_006958.1	1309798	1311840	+	2043	1171
cg1402	NC_006958.1	1311900	1312565	-	666	1678
cg1403	NC_006958.1	1312788	1313087	+	300	713
cg1404	NC_006958.1	1313093	1314586	+	1494	3307
cg1405	NC_006958.1	1314738	1315589	+	852	324
cg1408	NC_006958.1	1315935	1316255	-	321	699
cg1409	NC_006958.1	1316523	1317554	+	1032	4960
cg1410	NC_006958.1	1317806	1318915	+	1110	255
cg1411	NC_006958.1	1318902	1320476	+	1575	483
cg1412	NC_006958.1	1320473	1321447	+	975	360
cg1413	NC_006958.1	1321469	1322413	+	945	616
cg1414	NC_006958.1	1322420	1322791	+	372	192
cg1417	NC_006958.1	1322944	1323582	+	639	100
cg1418	NC_006958.1	1323861	1324877	+	1017	353
cg1419	NC_006958.1	1325001	1326008	+	1008	521
cg1420	NC_006958.1	1326223	1327728	+	1506	3669
cg1421	NC_006958.1	1327841	1328521	+	681	73
cg1423	NC_006958.1	1328630	1329715	+	1086	1184
cg1424	NC_006958.1	1329712	1330422	-	711	247
cg1425	NC_006958.1	1330484	1331356	+	873	89
cg1426	NC_006958.1	1331357	1332436	-	1080	308
cg1427	NC_006958.1	1332571	1333347	+	777	167
cg1429	NC_006958.1	1333422	1334480	+	1059	2408
cg1432	NC_006958.1	1334908	1336749	-	1842	3286
cg1433	NC_006958.1	1336878	1337513	-	636	1111
cg1434	NC_006958.1	1337561	1339162	-	1602	337
cg1435	NC_006958.1	1339600	1341480	+	1881	6206
cg1436	NC_006958.1	1341494	1342012	+	519	2403
cg1437	NC_006958.1	1342193	1343209	+	1017	17714
cg1440	NC_006958.1	1343927	1344196	-	270	23
cg1441	NC_006958.1	1344258	1345142	-	885	15
cg1442	NC_006958.1	1345500	1345934	+	435	58
cg1443	NC_006958.1	1345931	1346278	+	348	10
cg1444	NC_006958.1	1346402	1346890	+	489	208
cg1447	NC_006958.1	1346953	1347909	+	957	501
cg1448	NC_006958.1	1347925	1349742	+	1818	2067
cg1449	NC_006958.1	1349801	1351546	+	1746	1001
cg1451	NC_006958.1	1352322	1353914	+	1593	15034
cg1452	NC_006958.1	1354052	1354921	+	870	343
cg1453	NC_006958.1	1354956	1355978	+	1023	1556
cg1454	NC_006958.1	1356004	1357020	-	1017	527
cg1456	NC_006958.1	1357168	1359024	+	1857	1196
cg1457	NC_006958.1	1359024	1359680	+	657	363
cg1458	NC_006958.1	1359726	1360532	+	807	1414
cg1459	NC_006958.1	1360534	1361139	+	606	630
cg1462	NC_006958.1	1361632	1362762	-	1131	100
cg1463	NC_006958.1	1362828	1364318	+	1491	2553
cg1464	NC_006958.1	1364390	1364605	-	216	65
cg1465	NC_006958.1	1364606	1365079	-	474	67
cg1466	NC_006958.1	1365196	1365720	-	525	287
cg1468	NC_006958.1	1366342	1366647	-	306	8
cg1469	NC_006958.1	1366681	1366863	-	183	3
cgtRNA_3553	NC_006958.1	1367060	1367131	+	72	18
cgtRNA_3554	NC_006958.1	1367170	1367242	+	73	129
cgtRNA_3555	NC_006958.1	1367309	1367380	+	72	76
cgtRNA_3556	NC_006958.1	1367418	1367490	+	73	40
cgtRNA_3557	NC_006958.1	1369040	1369115	+	76	17
cg1474	NC_006958.1	1369867	1371021	+	1155	745
cg1475	NC_006958.1	1371018	1371344	+	327	1086
cg1476	NC_006958.1	1371341	1373104	-	1764	8574
cg1479	NC_006958.1	1374814	1377201	-	2388	37780
cg1481	NC_006958.1	1377397	1377555	-	159	28
cg1482	NC_006958.1	1377613	1379022	-	1410	277
cg1483	NC_006958.1	1379130	1379882	-	753	59
cg1484	NC_006958.1	1379930	1380409	-	480	119
cg1485	NC_006958.1	1380470	1381036	+	567	144
cg1486	NC_006958.1	1381019	1381726	-	708	312
cg1487	NC_006958.1	1381907	1383352	+	1446	2556
cg1488	NC_006958.1	1383369	1383962	+	594	1389
cg1490	NC_006958.1	1384309	1385319	-	1011	704
cg1491	NC_006958.1	1385397	1385555	+	159	8
cg1492	NC_006958.1	1385615	1386595	+	981	534
cg1493	NC_006958.1	1386620	1387702	+	1083	555
cg1494	NC_006958.1	1387757	1388737	-	981	366
cg1495	NC_006958.1	1388805	1389794	+	990	309
cg1496	NC_006958.1	1389794	1390543	+	750	160
cg1497	NC_006958.1	1390555	1392258	+	1704	598
cg1498	NC_006958.1	1392263	1394386	+	2124	636
cg1499	NC_006958.1	1394406	1394621	+	216	138
cg1500	NC_006958.1	1394621	1395205	+	585	292
cg1501	NC_006958.1	1395209	1395691	+	483	351
cg1502	NC_006958.1	1396264	1397028	-	765	267
cg1503	NC_006958.1	1397032	1397982	-	951	406
cg1504	NC_006958.1	1398025	1399029	-	1005	507
cg1505	NC_006958.1	1399129	1399938	+	810	314
cg1506	NC_006958.1	1400021	1401001	-	981	1379
cg1507	NC_006958.1	1401649	1402338	-	690	50
cg1508	NC_006958.1	1402348	1402803	+	456	48
cg1509	NC_006958.1	1402800	1403546	+	747	267
cg1510	NC_006958.1	1403739	1404173	+	435	435
cg1511	NC_006958.1	1404595	1405461	+	867	614
cg1512	NC_006958.1	1405464	1405685	+	222	357
cg4005	NC_006958.1	1406334	1406768	-	435	4251
cg1516	NC_006958.1	1408631	1409002	-	372	509
cg1519	NC_006958.1	1410892	1411269	-	378	150
cg1520	NC_006958.1	1411528	1412478	-	951	106
cg1521	NC_006958.1	1412583	1412891	-	309	32
cg1522	NC_006958.1	1412901	1413467	-	567	80
cg1523	NC_006958.1	1413818	1414042	+	225	36
cg1524	NC_006958.1	1414090	1414383	-	294	109
cgtRNA_3558	NC_006958.1	1415032	1415108	-	77	532
cg1525	NC_006958.1	1415287	1417929	+	2643	2614
cg1526	NC_006958.1	1417926	1419326	-	1401	280
cg1527	NC_006958.1	1419363	1420340	+	978	92
cg1528	NC_006958.1	1420343	1421218	+	876	149
cg1530	NC_006958.1	1421535	1422365	-	831	121
cg1531	NC_006958.1	1422566	1424026	+	1461	37377
cg1537	NC_006958.1	1424684	1426735	+	2052	20691
cg1538	NC_006958.1	1426746	1427348	+	603	1168
cg1540	NC_006958.1	1427724	1428824	+	1101	217
cg1541	NC_006958.1	1428840	1429277	-	438	51
cg1542	NC_006958.1	1429268	1429516	-	249	32
cg1543	NC_006958.1	1429688	1430626	-	939	333
cg1545	NC_006958.1	1430658	1432109	-	1452	189
cg1546	NC_006958.1	1432123	1433046	-	924	109
cg1547	NC_006958.1	1433039	1434079	-	1041	88
cg1548	NC_006958.1	1434358	1435017	+	660	194
cg1549	NC_006958.1	1435067	1435399	+	333	88
cg1550	NC_006958.1	1435572	1437671	+	2100	1102
cg1551	NC_006958.1	1437802	1438245	+	444	5083
cg1552	NC_006958.1	1438333	1438716	-	384	100
cg1553	NC_006958.1	1438823	1439671	+	849	301
cg1555	NC_006958.1	1439676	1441943	-	2268	667
cg1556	NC_006958.1	1442139	1443053	-	915	5230
cg1559	NC_006958.1	1443257	1443859	-	603	659
cg1560	NC_006958.1	1443954	1446803	+	2850	1947
cg1562	NC_006958.1	1446787	1448913	-	2127	355
cg1563	NC_006958.1	1449259	1449828	+	570	15023
cg1564	NC_006958.1	1449857	1450051	+	195	4165
cg1565	NC_006958.1	1450112	1450495	+	384	7614
cg1566	NC_006958.1	1450583	1451395	-	813	128
cg1567	NC_006958.1	1451671	1452162	+	492	77
cg1568	NC_006958.1	1452358	1453290	+	933	63
cg1569	NC_006958.1	1453287	1454123	+	837	16
cg1570	NC_006958.1	1454225	1455541	+	1317	39
cg1571	NC_006958.1	1455582	1456808	+	1227	64
cg1572	NC_006958.1	1456814	1457521	-	708	83
cg1573	NC_006958.1	1457597	1458418	+	822	495
cg1574	NC_006958.1	1458475	1459536	+	1062	1425
cg1575	NC_006958.1	1459579	1462086	+	2508	3259
cg1577	NC_006958.1	1462624	1463598	+	975	4400
cg1578	NC_006958.1	1463601	1464986	+	1386	3415
cg1579	NC_006958.1	1465000	1465404	+	405	3525
cg1580	NC_006958.1	1465550	1466593	+	1044	1295
cg1581	NC_006958.1	1466677	1467843	+	1167	1304
cg1582	NC_006958.1	1467889	1468842	+	954	1034
cg1583	NC_006958.1	1468843	1470018	+	1176	1634
cg1584	NC_006958.1	1470032	1470991	+	960	1114
cg1585	NC_006958.1	1470995	1471510	+	516	519
cg1586	NC_006958.1	1471678	1472883	+	1206	3775
cg1588	NC_006958.1	1472944	1474377	+	1434	2764
cg1589	NC_006958.1	1474444	1475589	+	1146	283
cg1590	NC_006958.1	1475586	1477163	+	1578	187
cg1591	NC_006958.1	1477150	1477764	+	615	195
cg1592	NC_006958.1	1477810	1477989	+	180	340
cg1594	NC_006958.1	1478017	1479279	+	1263	2013
cg1595	NC_006958.1	1479393	1479860	-	468	1726
cgr07	NC_006958.1	1480826	1482360	+	1535	443
cgr08	NC_006958.1	1482744	1485832	+	3089	1666
cgr09	NC_006958.1	1485946	1486062	+	117	7
cg1598	NC_006958.1	1487509	1488495	+	987	877
cg1599	NC_006958.1	1488499	1488663	+	165	126
cg1600	NC_006958.1	1488705	1489526	+	822	412
cg1601	NC_006958.1	1489526	1490488	+	963	596
cg1602	NC_006958.1	1490570	1492351	+	1782	388
cg1603	NC_006958.1	1492411	1493604	+	1194	1702
cg1604	NC_006958.1	1493614	1494579	+	966	1489
cg1606	NC_006958.1	1494980	1496644	+	1665	460
cg1607	NC_006958.1	1496660	1497331	+	672	321
cg1608	NC_006958.1	1497328	1498242	+	915	214
cg1609	NC_006958.1	1498259	1499791	-	1533	136
cg1610	NC_006958.1	1500243	1501115	+	873	1112
cg1611	NC_006958.1	1501398	1502165	+	768	305
cg1612	NC_006958.1	1502375	1502938	-	564	475
cg1613	NC_006958.1	1503177	1504046	+	870	1380
cg1614	NC_006958.1	1504068	1504646	+	579	322
cg1615	NC_006958.1	1504746	1505708	+	963	1352
cg1616	NC_006958.1	1505705	1506415	+	711	550
cg1617	NC_006958.1	1506412	1508043	+	1632	1817
cg1618	NC_006958.1	1508126	1508794	-	669	275
cg1619	NC_006958.1	1508869	1509369	-	501	461
cg1620	NC_006958.1	1509381	1510196	-	816	114
cg1621	NC_006958.1	1510469	1511836	+	1368	90
cg1622	NC_006958.1	1511857	1513602	+	1746	163
cg1623	NC_006958.1	1513641	1514447	+	807	190
cg1624	NC_006958.1	1514444	1515994	-	1551	288
cg1625	NC_006958.1	1516438	1516626	-	189	50
cgtRNA_3559	NC_006958.1	1516690	1516766	-	77	28
cg1626	NC_006958.1	1516872	1517261	-	390	31
cg1628	NC_006958.1	1517263	1518402	-	1140	115
cg1629	NC_006958.1	1518637	1520928	+	2292	1659
cg1630	NC_006958.1	1521068	1521499	+	432	3919
cg1631	NC_006958.1	1521657	1522415	+	759	1284
cg1632	NC_006958.1	1522424	1523059	+	636	696
cg1633	NC_006958.1	1523238	1523813	+	576	2097
cg1635	NC_006958.1	1523896	1524408	-	513	383
cg1636	NC_006958.1	1524516	1525907	-	1392	946
cg1638	NC_006958.1	1526032	1526880	-	849	162
cg1639	NC_006958.1	1526937	1528001	-	1065	466
cg1640	NC_006958.1	1527998	1529380	-	1383	1080
cg1641	NC_006958.1	1529451	1530797	-	1347	1007
cg1642	NC_006958.1	1530953	1531690	+	738	26
cg1643	NC_006958.1	1531805	1533259	-	1455	5621
cg1644	NC_006958.1	1533400	1533864	+	465	115
cg1645	NC_006958.1	1533882	1534466	+	585	315
cg1646	NC_006958.1	1534508	1535251	+	744	425
cg1647	NC_006958.1	1535248	1535991	+	744	159
cg1648	NC_006958.1	1535993	1536874	-	882	102
cg1649	NC_006958.1	1536846	1537694	-	849	17
cg1650	NC_006958.1	1537691	1538497	-	807	18
cg1651	NC_006958.1	1538494	1539300	-	807	27
cg1652	NC_006958.1	1539334	1540386	-	1053	23
cg1653	NC_006958.1	1540427	1541131	-	705	10
cg1654	NC_006958.1	1541284	1543575	-	2292	6566
cg1655	NC_006958.1	1543583	1544389	-	807	3605
cg1656	NC_006958.1	1544618	1546021	-	1404	14020
cg1657	NC_006958.1	1546443	1547759	+	1317	604
cg1658	NC_006958.1	1547771	1549132	-	1362	794
cg1659	NC_006958.1	1549431	1549907	-	477	1285
cg1660	NC_006958.1	1550247	1550819	+	573	169
cg1661	NC_006958.1	1550870	1551868	+	999	156
cg1662	NC_006958.1	1551936	1552421	+	486	1017
cg1663	NC_006958.1	1553042	1553707	+	666	276
cg1664	NC_006958.1	1553925	1555442	+	1518	528
cg1665	NC_006958.1	1555534	1556151	-	618	254
cg1668	NC_006958.1	1556355	1556546	-	192	203
cg1669	NC_006958.1	1556550	1557302	-	753	592
cg1671	NC_006958.1	1557843	1558241	+	399	3369
cg1672	NC_006958.1	1558478	1559290	-	813	1063
cg1673	NC_006958.1	1559323	1560960	-	1638	706
cg1675	NC_006958.1	1560961	1561524	-	564	579
cg1676	NC_006958.1	1561901	1563208	-	1308	67
cg1677	NC_006958.1	1563247	1564023	+	777	35
cg1678	NC_006958.1	1563989	1565269	-	1281	526
cg1680	NC_006958.1	1566029	1566769	-	741	387
cg1681	NC_006958.1	1566766	1567905	-	1140	784
cg1682	NC_006958.1	1567935	1568576	+	642	117
cg1683	NC_006958.1	1568581	1571370	-	2790	1214
cg1684	NC_006958.1	1571396	1572340	-	945	1139
cg1685	NC_006958.1	1572532	1572849	-	318	1125
cg1686	NC_006958.1	1572970	1573953	-	984	415
cg1687	NC_006958.1	1573956	1574930	-	975	411
cg1688	NC_006958.1	1574955	1576403	-	1449	1511
cg1689	NC_006958.1	1576409	1576603	-	195	302
cg1690	NC_006958.1	1576870	1578414	-	1545	1003
cg1691	NC_006958.1	1578415	1579989	-	1575	1342
cg1692	NC_006958.1	1580031	1580867	-	837	1123
cg1693	NC_006958.1	1580913	1582175	-	1263	1078
cg1694	NC_006958.1	1582274	1583110	+	837	417
cg1695	NC_006958.1	1583324	1583584	+	261	342
cg1696	NC_006958.1	1583737	1584948	-	1212	49
cg1697	NC_006958.1	1585377	1586957	-	1581	1471
cg1698	NC_006958.1	1587067	1587912	-	846	1540
cg1699	NC_006958.1	1587929	1588192	-	264	1049
cg1700	NC_006958.1	1588276	1588971	-	696	813
